objectId,createdAt,updatedAt,ACL,name,state
0Uw1erQuZt,Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:15 GMT-0600 (Central Standard Time),null,California Miramar University,UzpfDxugnp
0V6QLauDBv,Thu Dec 19 2019 08:33:18 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:18 GMT-0600 (Central Standard Time),null,"Columbia College of Missouri, Centennial, Colorado",yXtC2WwYuQ
0b2iq5b2PY,Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),null,CUNY William E. Macaulay Honors College,F5X764CJtI
0e0rHnAEvg,Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),null,Northeast Campus,WJfKBdeYC9
0f5uHUnB2w,Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:13 GMT-0600 (Central Standard Time),null,"University of Alaska Southeast, master's university with campuses in Juneau (main campus), Ketchikan, Sitka",AOkYZLa7US
0hKLga7Zra,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Amarillo College,WJfKBdeYC9
0j7RN7rrB7,Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:49 GMT-0600 (Central Standard Time),null,Palmer College of Chiropractic,DjJxhPBWjX
0jcXLBQk4P,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Northwood University,WJfKBdeYC9
0lSPRAoCz2,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Northeast Lakeview College,WJfKBdeYC9
0mmxS0qHZi,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,The Art Institute of Indianapolis,tAy4VFhYH8
0nXN8D3OeX,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Paul Quinn College,WJfKBdeYC9
